ID,LOCATION,AREA,PUBLIC,PRIVATE,DATE_ADDED,LONGITUDE,LATITUDE,STAND_TYPE,EASTINGS,NORTHINGS,DAY_MONTH_ADDED
69bs,Fingal County Council Offices  2,Blanchardstown,10, ,Pre 2021,-5.605999167,53.39068083, ,706823.2682,739037.4473,
70bs,Blanchardstown Library,Blanchardstown, ,5,Pre 2021,-5.608633611,53.3909975, ,706997.6939,739076.6297,
71bs,Blanchardstown Shopping Centre (Yellow),Blanchardstown, ,24,Pre 2021,-5.608343889,53.39324528, ,706972.7834,739326.291,
72bs,Crown Plaza - Blanchardstown,Blanchardstown, ,10,Pre 2021,-5.609178889,53.39587361, ,707021.7314,739619.9792,
73bs,Curries - Blanchardstown,Blanchardstown, ,10,Pre 2021,-5.610735278,53.39516361, ,707127.0105,739543.3316,
74bs,Blanchardstown - Retail Park,Blanchardstown, ,8,Pre 2021,-5.604895833,53.39434833, ,706740.7181,739443.8482,
75bs,AIB - Blanchardstown Shopping Centre,Blanchardstown, ,4,Pre 2021,-5.610761111,53.38995056, ,707141.8272,738963.3638,
76bs,Westend - Blanchardstown Shopping Centre 2,Blanchardstown, ,19,Pre 2021,-5.612923611,53.3911675, ,707282.5858,739102.0057,
77bs,Civic offices - Snugborough Rd,Blanchardstown, ,6,Pre 2021,-5.614846944,53.39111306, ,707410.6444,739098.8307,
78bs,Ebay,Blanchardstown, ,52,Pre 2021,-5.616402222,53.39173333, ,707512.5345,739170.1866,
79bs,Offices adjacent to Ebay,Blanchardstown, ,10,Pre 2021,-5.61656,53.39117222, ,707524.4407,739108.0094,
80bs,Ben Dunnes,Blanchardstown, ,24,Pre 2021,-5.615194167,53.39239167, ,707430.5134,739241.6242,
81bs,"Bridge, Church Road",Blanchardstown,10, ,Pre 2021,-5.602924444,53.40265111, ,706588.8557,740364.6834,
82bs,Lidl - Blakestown,Blanchardstown, ,2,Pre 2021,-5.599858611,53.39609556, ,706401.3539,739630.7279,
83bs,Iceland - Mountview shoppings 3,Blanchardstown, ,10,Pre 2021,-5.595416944,53.39028722, ,706120.432,738977.8672,
84bs,Iceland - Mountview shoppings 1 ,Blanchardstown, ,10,Pre 2021,-5.594499444,53.39075111, ,706058.2548,739028.1381,
85bs,Ongar Distributor/ Allendale Square,Ongar,10, ,Pre 2021,-5.570071667,53.39083083, ,704433.356,739000.9727,
86bs,Ongar Train Station,Ongar, ,48,Pre 2021,-5.5582325,53.38705889, ,703655.0898,738564.0447,
87bs,Lidl - Clonsilla,Blanchardstown,6, ,Pre 2021,-5.580673333,53.38383694, ,705155.7036,738238.395,
88bs,FCC Grove Rd,Blanchardstown,5, ,Pre 2021,-5.607216389,53.3908925, ,706903.7018,739062.8474,
89bs,Swords Village off roundabout,Swords,10, ,Pre 2021,-5.774215833,53.450705, ,717845.1357,745980.6623,
90bs,Lidl -Swords Village,Swords, ,12,Pre 2021,-5.7732025,53.45135278, ,717776.0429,746051.0726,
91bs,Dunnes - Rathbeale Road,Swords, ,6,Pre 2021,-5.770618889,53.46223778, ,717574.3701,747257.8457,
92bs,Swords Village 1,Swords,8, ,Pre 2021,-5.779248611,53.45812611, ,718158.7664,746814.6677,
93bs,Airside Shopping Centre,Swords, ,20,Pre 2021,-5.772369722,53.446045, ,717735.408,745459.1385,
94bs,Airside Shopping Centre,Swords, ,16,Pre 2021,-5.778535556,53.44756083, ,718140.7504,745637.9972,
95bs,Balbriggan City Hall,Balbriggan,14, ,Pre 2021,-5.817385,53.60848389, ,720264.27,763607.34,
96bs,Quay Street Car Park 1,Balbriggan,10, ,Pre 2021,-5.819408056,53.61040778, ,720392.663,763824.8005,
97bs,Quay Street Car Park 1,Balbriggan,6, ,Pre 2021,-5.817472222,53.61007611, ,720265.504,763784.6367,
98bs,Balbriggan Train Station,Balbriggan, ,26,Pre 2021,-5.817460556,53.61175167, ,720259.9706,763971.0287,
99bs,Bath Road Carpark,Balbriggan,10, ,Pre 2021,-5.817151389,53.61505056, ,720230.1417,764337.5545,
100bs,"Lidl, Balbriggan ",Balbriggan, ,6,Pre 2021,-5.820680833,53.60598667, ,720489.4559,763335.0463,
101bs,Church of St. Peter and Paul,Balbriggan, ,8,Pre 2021,-5.815415,53.60436, ,720145.62,763145.17,
102bs,Castle Mill Shopping Centre ,Balbriggan , ,5,Pre 2021,-5.793580556,53.61320528, ,718675.932,764092.6557,
103bs,Ardgillan Castle,Balbriggan,8, ,Pre 2021,-5.842091111,53.58613694, ,721963.37,761163.04,
104bs,Ardgillan Castle - Skerries Road,Balbriggan,8, ,Pre 2021,-5.848663056,53.58720889, ,722395.35,761293.59,
105bs,Skerries Train Station,Lusk-Rush, ,50,Pre 2021,-5.881083056,53.57399806, ,724580.42,759879.98,
106bs,Skerries - Harbour,Lusk-Rush,10, ,Pre 2021,-5.894586111,53.58551694, ,725440.49,761185.29,
107bs,Skerries Red Island,Lusk-Rush,8, ,Pre 2021,-5.896086944,53.5856, ,725539.61,761197.17,
108bs,Skerries Red Island,Lusk-Rush,4, ,Pre 2021,-5.900010556,53.58520417, ,725800.5307,761160.0653,
109bs,Skerries Red Island,Lusk-Rush,4, ,Pre 2021,-5.899687778,53.58416056, ,725782.2744,761043.3838,
110bs,Skerries South Strand,Lusk-Rush,8, ,Pre 2021,-5.8950325,53.57904056, ,725489.2257,760465.5017,
111bs,Supervalue,Lusk-Rush,6, ,Pre 2021,-5.892781944,53.57803083, ,725343.2,760349.22,
112bs,"Strand St, Church St",Lusk-Rush,6, ,Pre 2021,-5.894541667,53.57677944, ,725463.4288,760213.0887,
113bs,St Patricks Church,Lusk-Rush,8, ,Pre 2021,-5.89375,53.57824389, ,725406.6756,760374.6172,
114bs,Skerries Hockey Club,Lusk-Rush, ,18,Pre 2021,-5.888642778,53.57764, ,725070.2814,760298.4281,
115bs,Ardgillan Castle,Balbriggan,5, ,Pre 2021,-5.841144167,53.58621611, ,721900.4565,761170.2319,
116bs,Malahide Demesne Carpark - Dublin Road,Howth,10, ,Pre 2021,-5.842074444,53.44977028, ,722354.6103,745990.9689,
117bs,Malahide - Main Street,Howth,2, ,Pre 2021,-5.844105833,53.45045333, ,722487.5579,746070.4587,
118bs,Malahide Train Station,Howth, ,92,Pre 2021,-5.844183056,53.45076139, ,722491.7913,746104.8546,
119bs,Anna Livia Statue,Howth,30, ,Pre 2021,-5.846784167,53.45224972, ,722660.2624,746274.9146,
120bs,New Street,Howth,6, ,Pre 2021,-5.846154722,53.45138806, ,722620.9453,746177.9711,
121bs,James Terrace,Howth,20, ,Pre 2021,-5.848624722,53.4517525, ,722783.9289,746222.7739,
122bs,Malahide Beach,Howth,8, ,Pre 2021,-5.859841944,53.450605, ,723532.22,746114.47,
123bs,Portmarnock (Beach Access),Castleknock,11, ,Pre 2021,-5.872855833,53.44451889, ,724414.3145,745459.961,
124bs,Robwalls Playground,Castleknock,10, ,Pre 2021,-5.874566667,53.44334333, ,724531.3929,745332.167,
125bs,Portmarnock (Beach Access),Castleknock,10, ,Pre 2021,-5.876143889,53.43400778, ,724663.4866,744296.2762,
126bs,"Starnd Rd, Portmarnock",Castleknock,2, ,Pre 2021,-5.875612222,53.43376111, ,724628.8762,744267.9009,
127bs,Dunnes Wendell Road,Castleknock, ,8,Pre 2021,-5.869063889,53.43506778, ,724189.9977,744401.8465,
128bs,"Starnd Rd, Portmarnock, St Marnocks",Castleknock,2, ,Pre 2021,-5.863932222,53.4217425, ,723887.8134,742910.406,
129bs,Portmarnock - Lidl,Castleknock, ,12,Pre 2021,-5.862101944,53.42085556, ,723768.7506,742808.5412,
130bs,Baldoyle Village  - library,Howth,10, ,Pre 2021,-5.872188056,53.39941, ,724501.69,740440.13,
131bs,Baldoyle Village - The White House,Howth,2, ,Pre 2021,-5.872941667,53.39806861, ,724555.7112,740292.2164,
132bs,Baldoyle Park,Howth,10, ,Pre 2021,-5.865196944,53.39674389, ,724044.58,740131.34,
133bs,Playground - Baldoyle Racecourse Park,Howth,5, ,Pre 2021,-5.863211667,53.39972111, ,723903.9088,740459.1027,
134bs,Sutton Cross,Howth,10, ,Pre 2021,-5.890188889,53.38942889, ,725728.06,739361.24,
135bs,Entrance Burrow Beach ,Howth,10, ,Pre 2021,-5.898293889,53.39185194, ,726259.9306,739645.1055,
136bs,Summit Car Park,Howth,8, ,Pre 2021,-5.945356111,53.37081417, ,729453.6232,737388.8809,
137bs,Rush Harbour,Lusk-Rush,10, ,Pre 2021,-5.917825278,53.52254222, ,727167.7087,754220.0348,
138bs,South Beach Car Park,Lusk-Rush,10, ,Pre 2021,-5.908278056,53.51862389, ,726546.4,753767.09,
139bs,"Rush, Echlin Court (SuperValu seating area)",Lusk-Rush,3, ,Pre 2021,-5.904737778,53.52196806, ,726301.7112,754132.8552,
140bs,Tesco - Whitestown Road,Lusk-Rush, ,14,Pre 2021,-5.898391389,53.52272917, ,725878.6624,754206.3196,
141bs,St. Catherines Park,Castleknock,8, ,Pre 2021,-5.535709167,53.36689111, ,702205.2039,736287.6683,
142bs,St. Catherines Park,Castleknock,8, ,Pre 2021,-5.534089167,53.36728667, ,702096.4599,736329.3402,
143bs,Millennium Park,Blanchardstown,8, ,Pre 2021,-5.599558333,53.38845528, ,706400.4365,738780.2312,
144bs,Ongar Village,Ongar,2, ,Pre 2021,-5.560260278,53.39566278, ,703769.0445,739524.2816,
145bs,Ongar Village,Ongar,2, ,Pre 2021,-5.560380833,53.39585389, ,703776.5851,739545.7129,
146bs,Ongar Village,Ongar,1, ,Pre 2021,-5.560111389,53.39599306, ,703758.3288,739560.7942,
147bs,Mountview Shopping Centre ,Blanchardstown, ,5,Pre 2021,-5.595416944,53.39028722, ,706120.432,738977.8672,
148bs,Mountview Shopping Centre,Blanchardstown, ,5,Pre 2021,-5.594499444,53.39075111, ,706058.2548,739028.1381,
149bs,Mountview Shopping Centre,Blanchardstown, ,3,Pre 2021,-5.605999167,53.39068083, ,706823.2682,739037.4473,
150bs,Blanchardstown Shopping Centre,Blanchardstown, ,2,Pre 2021,-5.610761111,53.38995056, ,707141.8272,738963.3638,
151bs,Blanchardstown Shopping Centre - Westend ,Blanchardstown, ,4,Pre 2021,-5.612923611,53.3911675, ,707282.5858,739102.0057,
152bs,Blanchardstown Shopping Centre - Westend Lidl,Blanchardstown, ,28,Pre 2021,-5.614846944,53.39111306, ,707410.6444,739098.8307,
153bs,Blanchardstown Shopping Centre,Blanchardstown, ,2,Pre 2021,-5.610522778,53.39206556, ,707120.6605,739198.3143,
154bs,Blanchardstown Shopping Centre - Curries,Blanchardstown, ,5,Pre 2021,-5.610735278,53.39516361, ,707127.0105,739543.3316,
155bs,Blanchardstown Shopping Centre,Blanchardstown, ,4,Pre 2021,-5.604895833,53.39434833, ,706740.7181,739443.8482,
156bs,The Green Malahide,Howth,15, ,Pre 2021,-5.846784167,53.45224972, ,722660.2624,746274.9146,
157bs,Bridgefield Carpark,Howth,5, ,Pre 2021,-5.842074444,53.44977028, ,722354.6103,745990.9689,
158bs,Onger Playground,Ongar,8, ,Pre 2021,-5.562604722,53.39526833, ,703925.9149,739483.7888,
159bs,Hartstown Park,Blanchardstown,8, ,Pre 2021,-5.584713889,53.39454556, ,705398.0309,739435.8039,
160bs,Lidl - Blanchardstown Shopping Centre,Blanchardstown, ,60,Pre 2021,-5.612531944,53.39269889, ,707252.6932,739271.8059,
161bs,Westend Village,Blanchardstown, ,3,Pre 2021,-5.609798333,53.38952556, ,707078.8617,738914.6177,
162bs,Westend - Blanchardstown Shopping Centre 1,Blanchardstown, ,10,Pre 2021,-5.611381111,53.39035306, ,707182.0493,739009.0741,
163bs,Huntstown Way (Bus Stop 1865),Blanchardstown,12, ,Pre 2021,-5.593948056,53.40093972, ,705996.2436,740160.9076,
164bs,Portraine Beach,Lusk-Rush,10, ,Pre 2021,-5.890908611,53.49363278, ,725468.4741,750955.8909,
165bs,Donabate Railway Station,Lusk-Rush, ,37,Pre 2021,-5.849105556,53.48601278, ,722716.9771,750035.3416,
166bs,"Donabate, Portrane",Lusk-Rush, ,6,Pre 2021,-5.856893889,53.48961417, ,723223.3698,750449.4553,
167bs,Newbridge Demesne,Lusk-Rush,12, ,Pre 2021,-5.826766389,53.48679083, ,721232.3542,750083.6682,
168bs,Upper Main Street,Lusk-Rush,6, ,Pre 2021,-5.908293889,53.521975, ,726537.4577,754139.937,
169bs,Upper Main Street,Lusk-Rush,2, ,Pre 2021,-5.906221389,53.522285, ,726399.1244,754170.761,
170bs,Balrothery Inn,Balbriggan,4, ,Pre 2021,-5.810642222,53.58767417, ,719877.0188,761280.6268,
171bs,Millfield Shopping Centre 2,Balbriggan, ,3,Pre 2021,-5.802786667,53.60769194, ,719300.5681,763494.6381,
172bs,Millfield Shopping Centre 2,Balbriggan, ,3,Pre 2021,-5.804170278,53.60727583, ,719393.2783,763450.6643,
173bs,Millfield Shopping Centre 1,Balbriggan, ,3,Pre 2021,-5.80393,53.60766333, ,719376.292,763493.3681,
174bs,Millfield Shopping Centre ,Balbriggan,20, ,Pre 2021,-5.802372222,53.60736722, ,719274.0568,763457.8081,
175bs,Skerries Sailing Club ,Lusk-Rush, ,4,Pre 2021,-5.895326667,53.58381111, ,725494.5822,760996.7989,
176bs,"Shenick Road, Skerries ",Lusk-Rush,4, ,Pre 2021,-5.893806667,53.57061111, ,725433.0224,759525.4931,
177bs,Rush / Lusk Station,Lusk-Rush, ,11,Pre 2021,-5.856567778,53.52058194, ,723111.9411,753894.3328,
178bs,Rush / Lusk Station,Lusk-Rush, ,11,Pre 2021,-5.856255278,53.52081861, ,723090.5362,753920.1033,
179bs,Brackenstown Hockey Pitch,Swords,4, ,Pre 2021,-5.756445556,53.45503528, ,716653.0545,746433.2181,
180bs,Portmarnock - Jus de Vine,Howth,4, ,Pre 2021,-5.862618611,53.42094806, ,723802.8191,742819.728,
181bs,Iceland - Mountview shoppings 2,Blanchardstown, ,6,Pre 2021,-5.594083056,53.39048472, ,706031.2067,738997.8624,
182bs,Lidl - Rathbeale Road,Swords , ,6,Pre 2021,-5.771259444,53.46147222, ,717619.0213,747173.7281,
183bs,Strand Street Gerrys Fresh Foods,Lusk-Rush,8, ,Pre 2021,-5.893438056,53.57977306, ,725381.4889,760544.1906,
184bs,Church of the sacred heart of Jesus ,Blanchardstown,12, ,Pre 2021,-5.589561111,53.4016725, ,705702.7311,740235.923,
185bs,Huntstown Way,Blanchardstown,12, ,Pre 2021,-5.597060278,53.39991861, ,706205.7381,740051.9379,
186bs,Charlestown Shopping Centre 1,Blanchardstown,10, ,Pre 2021,-5.69621,53.40314583, ,712790.1887,740563.1327,
187bs,Charlestown Shopping Centre 2,Blanchardstown,10, ,Pre 2021,-5.694496944,53.40330194, ,712675.8884,740577.8171,
188bs,Charlestown Shopping Centre 3,Blanchardstown,8, ,Pre 2021,-5.694253611,53.4036475, ,712658.7897,740615.8676,
